زه
ته
هغه
هغې
موږ
تاسو
دوی
او
یا
خو
چې
که
لکه
په
د
له
تر
نه
ته
لپاره
دا
هغه
دغه
همدا
ښه
نور
هم
یو
یوه
ډېر
لږ
